4,Day,Schedule,Type,Through,Day of Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hours Per Day,Hours Per Week,Hours Per Year
SchEquip1,WD,BLDG_EQUIP_SCH,Fraction,Through 6/30,"WD, SummerDesign",0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.35,0.35,0.35,0.35,0.35,0.35,0.35,13.8,69,3348.11
,Sat,,,,Other,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,8.4,,
,Sun,,,,Other,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,8.4,,
SchLight1,WD,BLDG_LIGHT_SCH,Fraction,Through 6/30,"WD, SummerDesign",0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.1773,0.1773,0.1773,14.37,71.87,3466.2
,Sat,,,,Other,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,4.26,,
,Sun,,,,Other,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,0.1773,4.26,,
SchOcc1,WD,BLDG_OCC_SCH,Fraction,Through 6/30,"WD, SummerDesign",0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.15,0.15,0.15,0.15,0.15,0,0,0,6.35,31.75,1457.54
,Sat,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Sun,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SetCool1,WD,CLGSETP_SCH,Temperature,Through 6/30,Other,27,27,27,27,27,27,27,24,24,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,576,1296,67577.14
,Sat,,,,"WE, Hol, WinterDesign",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,648,,
,Sun,,,,"WE, Hol, WinterDesign",27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,,
SetHeat1,WD,HTGSETP_SCH,Temperature,Through 6/30,Other,16,16,16,16,16,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,16,16,504,768,40045.71
,Sat,,,,"WE, Hol, SummerDesign",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,384,,
,Sun,,,,"WE, Hol, SummerDesign",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,384,,
SchGas1,WD,KITCHEN_GAS_EQUIP_SCH,Fraction,Through 6/30,"WD, SummerDesign",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.15,0.15,0.2,0.2,0.2,0.1,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.44,7.2,389.41
,Sat,,,,Other,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.48,,
,Sun,,,,Other,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.48,,
SchSWH1,WD,BLDG_SWH_SCH,Fraction,Through 6/15,"WD, SummerDesign",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.34,0.6,0.63,0.72,0.79,0.83,0.61,0.65,0.1,0.1,0.19,0.25,0.22,0.22,0.12,0.09,,,
,Sat,,,,"Sat, WinterDesign",0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,
,Sun,,,,"Sun, Hol, Other",0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,
